,running_saber11,running_sisben,spadies_any,tr
980,83,,0,1
981,55,,1,1
982,38,17.96,0,1
983,-68,43.85999996185303,0,0
984,85,,1,1
985,7,,0,1
986,116,,1,1
987,28,1.660000762939454,1,1
988,64,,0,1
989,83,,1,1
990,22,,1,1
991,2,,0,1
992,172,-2.789999999999999,1,0
993,50,,1,1
994,-4,-9.900001220703125,0,0
995,-2,,0,0
996,94,,1,1
997,26,-0.5699987792968741,1,0
998,138,,1,1
999,26,,0,1
1000,62,,0,1
1001,-38,48.41999990463257,0,0
1002,63,,0,1
1003,61,,1,1
1004,-25,,1,0
1005,-33,21.189998931884766,1,0
1006,24,18.309998474121095,1,1
1007,-40,38.51000053405762,1,0
1008,47,,0,1
1009,62,14.11999984741211,1,1
1010,63,,1,1
1011,29,,1,1
1012,69,,1,1
1013,45,6.86999984741211,1,1
1014,1,-22.639998474121093,0,0
1015,-4,,0,0
1016,50,1.860001525878907,1,1
1017,87,,1,1
1018,40,-4.039999999999999,1,0
1019,-15,12.799999237060547,0,0
1020,55,,1,1
1021,87,,1,1
1022,78,,1,1
1023,51,8.669999084472657,1,1
1024,57,,0,1
1025,5,-23.61000030517578,0,0
1026,40,,1,1
1027,77,,0,1
1028,21,29.250000915527345,0,1
1029,-2,,0,0
1030,56,,1,1
1031,106,,1,1
1032,113,,1,1
1033,65,,1,1
1034,88,30.900000534057618,1,1
1035,43,,1,1
1036,80,,0,1
1037,30,4.119999237060547,1,1
1038,-37,45.34000045776367,1,0
1039,-20,,0,0
1040,-7,,0,0
1041,85,11.880001373291016,1,1
1042,38,,0,1
1043,44,15.810000000000002,1,1
1044,18,,1,1
1045,34,,0,1
1046,69,-14.260001831054687,1,0
1047,77,,1,1
1048,30,,1,1
1049,24,-5.659998931884765,0,0
1050,-11,,1,0
1051,53,-1.7899999999999991,1,0
1052,-12,,0,0
1053,78,,1,1
1054,33,23.110001525878907,1,1
1055,33,,1,1
1056,69,,1,1
1057,48,-13.510001220703124,1,0
1058,40,-5.120001831054687,1,0
1059,61,,1,1
1060,69,,1,1
1061,90,,1,1
1062,20,,0,1
1063,55,,1,1
1064,90,,1,1
1065,67,,1,1
1066,18,,0,1
1067,155,,1,1
1068,103,,1,1
1069,72,,1,1
1070,43,2.430001220703126,1,1
1071,79,,0,1
1072,88,,1,1
1073,15,-20.48000244140625,0,0
1074,65,,1,1
1075,22,0.8299999999999983,1,1
1076,20,36.99000068664551,0,1
1077,22,-2.790000610351562,1,0
1078,86,,1,1
1079,115,,1,1
1080,43,,1,1
1081,30,-6.039999999999999,0,0
1082,64,,1,1
1083,94,,1,1
1084,75,,0,1
1085,-7,,0,0
1086,59,-0.839999237060546,1,0
1087,64,38.25999923706055,1,1
1088,11,,0,1
1089,-73,,0,0
1090,23,,1,1
1091,55,,1,1
1092,-35,,0,0
1093,80,,1,1
1094,30,2.860001525878907,0,1
1095,-8,33.36999984741211,0,0
1096,79,5.590000152587891,1,1
1097,19,,0,1
1098,94,,1,1
1099,-14,,0,0
1100,-51,5.849999389648438,0,0
1101,77,-3.6799993896484366,1,0
1102,77,,1,1
1103,45,,0,1
1104,73,40.15000053405762,1,1
1105,4,,0,1
1106,74,,1,1
1107,58,-1.2799984741210935,1,0
1108,73,-6.499999084472655,1,0
1109,13,,0,1
1110,12,,1,1
1111,57,-11.919997253417968,1,0
1112,40,,0,1
1113,33,,0,1
1114,2,,0,1
1115,69,,1,1
1116,38,-2.8800001525878898,1,0
1117,60,-1.7900006103515622,1,0
1118,18,,0,1
1119,27,21.700001068115235,1,1
1120,3,,0,1
1121,40,-1.9000012207031247,1,0
1122,78,,1,1
1123,90,,1,1
1124,2,-3.089999237060546,0,0
1125,61,3.4500016784667977,1,1
1126,35,10.270001373291016,1,1
1127,17,,0,1
1128,43,,0,1
1129,82,,1,1
1130,38,,1,1
1131,16,,0,1
1132,71,-8.389998474121093,0,0
1133,20,3.5700000000000003,1,1
1134,-14,1.6500018310546878,1,0
1135,38,-5.9700009155273435,1,0
1136,100,,1,1
1137,79,4.560000000000002,1,1
1138,107,,0,1
1139,65,22.43000030517578,1,1
1140,73,,1,1
1141,66,,0,1
1142,4,-5.339999237060546,1,0
1143,53,,0,1
1144,38,,1,1
1145,66,,1,1
1146,81,,1,1
1147,28,-19.65000061035156,0,0
1148,57,,0,1
1149,51,,1,1
1150,3,,0,1
